,pizza_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
211,212,bbq_ckn_l,2,2015-02-01,15:14:43,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
245,246,hawaiian_s,2,2015-02-01,18:12:01,10.5,21.0,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
341,342,bbq_ckn_m,3,2015-03-01,13:44:28,16.75,50.25,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
444,445,big_meat_s,2,2015-03-01,20:12:14,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
825,826,big_meat_s,2,2015-06-01,19:12:38,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
911,912,five_cheese_l,2,2015-07-01,14:31:10,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
938,939,big_meat_s,2,2015-07-01,17:33:49,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
1208,1209,peppr_salami_m,2,2015-09-01,15:58:10,16.5,33.0,M,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
1799,1800,calabrese_l,2,2015-01-14,12:54:35,20.25,40.5,L,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
1825,1826,peppr_salami_l,2,2015-01-14,14:15:32,20.75,41.5,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
1897,1898,mexicana_l,2,2015-01-14,20:40:40,20.25,40.5,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
2144,2145,thai_ckn_l,2,2015-01-16,19:14:03,20.75,41.5,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
2157,2158,spicy_ital_l,2,2015-01-16,19:35:00,20.75,41.5,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
2162,2163,cali_ckn_m,2,2015-01-16,20:06:41,16.75,33.5,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
2245,2246,big_meat_s,2,2015-01-17,17:28:05,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
2283,2284,hawaiian_s,2,2015-01-17,20:50:54,10.5,21.0,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2382,2383,ital_supr_m,2,2015-01-18,17:21:38,16.5,33.0,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
2580,2581,sicilian_l,2,2015-01-20,11:36:48,20.25,40.5,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
2728,2729,four_cheese_l,2,2015-01-21,13:13:52,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
2876,2877,classic_dlx_m,2,2015-01-22,13:14:17,16.0,32.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3021,3022,four_cheese_l,2,2015-01-23,12:57:07,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
3127,3128,five_cheese_l,2,2015-01-23,20:24:59,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
3521,3522,spinach_fet_l,2,2015-01-27,13:23:02,20.25,40.5,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
3529,3530,bbq_ckn_l,2,2015-01-27,13:38:50,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
3687,3688,bbq_ckn_l,2,2015-01-28,13:37:57,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
3807,3808,peppr_salami_l,2,2015-01-29,13:39:42,20.75,41.5,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza
3837,3838,mexicana_l,2,2015-01-29,18:44:29,20.25,40.5,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
4165,4166,big_meat_s,2,2015-01-02,11:49:01,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
4232,4233,big_meat_s,2,2015-01-02,16:14:27,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
4240,4241,hawaiian_s,2,2015-01-02,16:25:39,10.5,21.0,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
4546,4547,big_meat_s,2,2015-03-02,13:20:46,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
4629,4630,four_cheese_l,2,2015-03-02,20:42:43,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
4631,4632,four_cheese_l,2,2015-03-02,20:46:45,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
4917,4918,big_meat_s,2,2015-06-02,12:22:30,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
5083,5084,bbq_ckn_m,2,2015-07-02,15:00:58,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
5275,5276,pep_msh_pep_s,2,2015-08-02,18:24:31,11.0,22.0,S,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
5520,5521,bbq_ckn_l,2,2015-10-02,16:49:38,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
5594,5595,bbq_ckn_m,2,2015-11-02,12:35:27,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
5713,5714,pep_msh_pep_m,2,2015-11-02,20:11:26,14.5,29.0,M,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza"
